meanIntensity	edgeDensity	contrast	homogeneity	energy	label
92.39	0.261	372.5	0.125	0.012	LOW
147.26	0.094	108.63	0.3	0.027	HIGH
133.72	0.181	224.39	0.171	0.021	MODERATE
149.31	0.114	99.98	0.242	0.03	HIGH
90.27	0.335	472.8	0.075	0.012	LOW
139.23	0.219	243.69	0.141	0.023	MODERATE
130.72	0.224	172.23	0.2	0.023	MODERATE
148.25	0.143	119.35	0.262	0.035	HIGH
87.0	0.267	410.91	0.104	0.007	LOW
119.7	0.248	208.5	0.176	0.024	MODERATE
146.34	0.094	93.0	0.263	0.024	HIGH
155.92	0.125	124.49	0.233	0.032	HIGH
151.04	0.175	158.6	0.28	0.027	HIGH
145.41	0.101	155.29	0.283	0.026	HIGH
126.89	0.201	279.27	0.141	0.022	MODERATE
144.53	0.086	79.32	0.337	0.028	HIGH
155.21	0.126	119.89	0.323	0.034	HIGH
134.25	0.218	218.02	0.169	0.022	MODERATE
110.98	0.206	213.21	0.216	0.023	MODERATE
134.34	0.207	239.64	0.204	0.024	MODERATE
164.95	0.088	147.78	0.331	0.031	HIGH
86.77	0.307	330.37	0.122	0.014	LOW
87.74	0.306	454.26	0.084	0.006	LOW
129.04	0.214	170.95	0.161	0.018	MODERATE
140.0	0.204	238.02	0.2	0.021	MODERATE
164.34	0.086	139.86	0.279	0.027	HIGH
132.63	0.246	183.92	0.132	0.016	MODERATE
147.13	0.124	95.64	0.317	0.029	HIGH
130.75	0.201	229.79	0.173	0.02	MODERATE
129.78	0.239	235.39	0.211	0.021	MODERATE
120.57	0.225	234.51	0.191	0.021	MODERATE
129.28	0.189	215.4	0.135	0.018	MODERATE
92.17	0.289	407.6	0.102	0.01	LOW
154.82	0.155	138.39	0.278	0.034	HIGH
153.18	0.132	84.29	0.268	0.027	HIGH
134.96	0.215	245.99	0.176	0.017	MODERATE
86.77	0.271	427.18	0.067	0.006	LOW
162.16	0.161	120.07	0.296	0.03	HIGH
167.02	0.08	147.26	0.239	0.025	HIGH
136.41	0.229	193.15	0.131	0.024	MODERATE
95.19	0.299	371.47	0.067	0.009	LOW
144.13	0.088	146.0	0.233	0.032	HIGH
119.23	0.232	228.3	0.156	0.016	MODERATE
159.7	0.171	148.6	0.263	0.03	HIGH
105.18	0.316	397.97	0.128	0.009	LOW
139.3	0.217	193.96	0.139	0.017	MODERATE
161.08	0.111	100.58	0.221	0.034	HIGH
156.02	0.111	142.78	0.281	0.033	HIGH
89.76	0.259	374.83	0.084	0.01	LOW
159.88	0.144	123.74	0.223	0.033	HIGH
109.9	0.257	326.89	0.071	0.014	LOW
90.62	0.28	409.43	0.068	0.007	LOW
107.63	0.326	300.31	0.084	0.008	LOW
115.53	0.184	272.93	0.173	0.022	MODERATE
86.94	0.276	339.78	0.076	0.01	LOW
153.46	0.081	77.13	0.253	0.033	HIGH
109.22	0.302	399.28	0.11	0.006	LOW
117.01	0.234	165.24	0.197	0.021	MODERATE
121.54	0.214	188.46	0.181	0.02	MODERATE
156.93	0.144	126.21	0.332	0.031	HIGH
124.9	0.243	194.34	0.202	0.02	MODERATE
109.22	0.333	466.71	0.063	0.01	LOW
142.85	0.123	129.86	0.269	0.026	HIGH
102.99	0.277	348.04	0.083	0.009	LOW
151.46	0.133	156.96	0.326	0.033	HIGH
98.46	0.315	443.23	0.104	0.009	LOW
131.09	0.212	242.49	0.213	0.022	MODERATE
129.43	0.244	259.2	0.136	0.016	MODERATE
145.25	0.158	111.82	0.31	0.031	HIGH
126.98	0.228	249.36	0.134	0.02	MODERATE
141.98	0.089	131.05	0.257	0.032	HIGH
136.17	0.183	168.21	0.187	0.023	MODERATE
168.44	0.088	127.38	0.267	0.033	HIGH
153.55	0.103	100.5	0.279	0.029	HIGH
144.53	0.087	109.8	0.259	0.027	HIGH
126.98	0.235	180.4	0.137	0.023	MODERATE
163.7	0.104	99.14	0.243	0.025	HIGH
106.9	0.274	390.13	0.064	0.014	LOW
152.5	0.146	77.71	0.347	0.025	HIGH
101.69	0.339	411.0	0.126	0.014	LOW
154.57	0.124	94.59	0.318	0.025	HIGH
93.48	0.328	334.7	0.065	0.009	LOW
106.61	0.337	341.41	0.101	0.009	LOW
107.47	0.269	334.9	0.058	0.013	LOW
116.35	0.203	251.35	0.164	0.022	MODERATE
153.49	0.161	128.67	0.262	0.029	HIGH
124.12	0.226	269.93	0.146	0.02	MODERATE
130.32	0.247	207.6	0.194	0.016	MODERATE
162.38	0.102	107.78	0.264	0.028	HIGH
128.19	0.235	187.08	0.177	0.019	MODERATE
123.28	0.24	278.8	0.157	0.021	MODERATE
107.6	0.299	463.61	0.097	0.006	LOW
122.45	0.187	218.72	0.167	0.024	MODERATE
143.93	0.118	84.6	0.328	0.032	HIGH
152.26	0.114	123.81	0.323	0.031	HIGH
107.62	0.303	433.02	0.119	0.013	LOW
104.4	0.271	287.06	0.075	0.008	LOW
85.09	0.319	420.16	0.071	0.012	LOW
116.82	0.193	161.7	0.178	0.017	MODERATE
130.66	0.229	273.12	0.175	0.019	MODERATE
118.49	0.201	230.43	0.22	0.019	MODERATE
147.31	0.093	120.81	0.229	0.032	HIGH
169.67	0.134	92.8	0.318	0.026	HIGH
144.15	0.105	127.71	0.334	0.03	HIGH
109.53	0.298	486.63	0.059	0.015	LOW
106.53	0.3	291.13	0.13	0.013	LOW
156.99	0.12	82.77	0.302	0.024	HIGH
131.73	0.249	276.07	0.202	0.018	MODERATE
113.46	0.247	176.89	0.217	0.023	MODERATE
144.72	0.142	130.66	0.255	0.031	HIGH
107.57	0.305	346.21	0.094	0.005	LOW
99.03	0.274	408.61	0.122	0.009	LOW
112.92	0.242	176.28	0.171	0.021	MODERATE
119.27	0.211	229.55	0.196	0.016	MODERATE
139.14	0.217	269.62	0.205	0.017	MODERATE
112.57	0.23	218.63	0.198	0.021	MODERATE
108.39	0.301	383.99	0.113	0.013	LOW
106.62	0.338	458.37	0.121	0.005	LOW
90.48	0.34	392.1	0.057	0.005	LOW
165.35	0.177	143.66	0.3	0.031	HIGH
99.41	0.273	435.93	0.05	0.014	LOW
94.89	0.332	380.95	0.071	0.007	LOW
89.24	0.258	393.4	0.101	0.008	LOW
